participants,stimuli,density,noise_sd,scenario,method,participant_dose,stimulus_dose,replicates,coverage,coverage_mc_low,coverage_mc_high,truth,bias,empirical_sd,mean_bootstrap_sd,bootstrap_bias,miss_below,miss_above,positive_rate,mean_width
8,6,0.25,0.5,participant_constant,normal_t,0,0,298,0.9832214765100671,0.9613308139889923,0.9928124674715028,0.4622641509433961,-0.06665162769534756,0.1618533782583495,0.18618281995442706,-0.08911369279492565,0.016778523489932886,0.0,0.29194630872483224,1.0147473393511144
8,6,0.25,0.5,participant_constant,normal_t,0,4,298,0.9932885906040269,0.9758637106425548,0.9981575558483672,0.24301378298708698,0.028527105948754787,0.14416225063946522,0.1710046961309038,-0.028009872862980723,0.003355704697986577,0.003355704697986577,0.09731543624161074,0.9319690488350083
8,6,0.25,0.5,participant_constant,normal_t,4,0,298,1.0,0.9872732565112067,0.9999999999999999,0.0,-1.1642439436085954e-18,5.123069243666612e-17,1.0407691509930892e-16,-8.161653896920687e-20,0.0,0.0,0.0,5.619341359445815e-16
8,6,0.25,0.5,participant_constant,normal_t,4,4,298,1.0,0.9872732565112067,0.9999999999999999,0.0,-7.45116123909501e-19,8.512723408286396e-17,1.772697081746207e-16,-6.806904300458631e-19,0.0,0.0,0.0,9.651403957421365e-16
8,6,0.25,0.5,participant_constant,percentile,0,0,298,0.8825503355704698,0.8410361548512393,0.9143272763049861,0.4622641509433961,-0.06665162769534756,0.1618533782583495,0.18618281995442706,-0.08911369279492565,0.1174496644295302,0.0,0.15100671140939598,0.7078829701219734
8,6,0.25,0.5,participant_constant,percentile,0,4,298,0.9966442953020134,0.9812398715859647,0.9994073899150995,0.24301378298708698,0.028527105948754787,0.14416225063946522,0.1710046961309038,-0.028009872862980723,0.003355704697986577,0.0,0.17785234899328858,0.6719627000694036
8,6,0.25,0.5,participant_constant,percentile,4,0,298,1.0,0.9872732565112067,0.9999999999999999,0.0,-1.1642439436085954e-18,5.123069243666612e-17,1.0407691509930892e-16,-8.161653896920687e-20,0.0,0.0,0.0,2.7001187523940235e-16
8,6,0.25,0.5,participant_constant,percentile,4,4,298,1.0,0.9872732565112067,0.9999999999999999,0.0,-7.45116123909501e-19,8.512723408286396e-17,1.772697081746207e-16,-6.806904300458631e-19,0.0,0.0,0.0,4.566714852096266e-16
8,6,0.25,0.5,trial_signal,basic,0,0,298,0.889261744966443,0.8485612105897743,0.9200542105867356,0.26595744680851063,-0.015316628632208085,0.13020104107403685,0.1636596426966828,-0.05009618544309211,0.0436241610738255,0.06711409395973154,0.5536912751677853,0.6336190332374723
8,6,0.25,0.5,trial_signal,basic,0,4,298,0.9463087248322147,0.9145731491441628,0.9666841872047666,0.134738851526218,0.021729389012374138,0.10142941955974086,0.1378641991838168,-0.014617535595709918,0.006711409395973154,0.04697986577181208,0.24161073825503357,0.5425305049196577
8,6,0.25,0.5,trial_signal,basic,4,0,298,0.9295302013422819,0.89467774886693,0.9534496124312879,0.16339312385599758,0.004721003307232238,0.11462457330613815,0.1495901543890835,-0.022140147792147017,0.02348993288590604,0.04697986577181208,0.23154362416107382,0.5930794989367415
8,6,0.25,0.5,trial_signal,basic,4,4,298,0.959731543624161,0.9309441775912461,0.9768171387982525,0.10669494409970404,0.023500821770114613,0.08457567357269291,0.12879577064579392,-0.0028579965217593265,0.013422818791946308,0.026845637583892617,0.09731543624161074,0.5105349067543765
8,6,0.25,0.5,trial_signal,normal_t,0,0,298,0.9899328859060402,0.970824791888958,0.9965704795918217,0.26595744680851063,-0.015316628632208085,0.13020104107403685,0.1636596426966828,-0.05009618544309211,0.010067114093959731,0.0,0.08389261744966443,0.8893361663042286
8,6,0.25,0.5,trial_signal,normal_t,0,4,298,0.9966442953020134,0.9812398715859647,0.9994073899150995,0.134738851526218,0.021729389012374138,0.10142941955974086,0.1378641991838168,-0.014617535595709918,0.003355704697986577,0.0,0.026845637583892617,0.7497913079081704
8,6,0.25,0.5,trial_signal,normal_t,4,0,298,0.9966442953020134,0.9812398715859647,0.9994073899150995,0.16339312385599758,0.004721003307232238,0.11462457330613815,0.1495901543890835,-0.022140147792147017,0.003355704697986577,0.0,0.030201342281879196,0.813841335832884
8,6,0.25,0.5,trial_signal,normal_t,4,4,298,1.0,0.9872732565112067,0.9999999999999999,0.10669494409970404,0.023500821770114613,0.08457567357269291,0.12879577064579392,-0.0028579965217593265,0.0,0.0,0.016778523489932886,0.701863186330268
8,6,0.25,0.5,trial_signal,percentile,0,0,298,0.959731543624161,0.9309441775912461,0.9768171387982525,0.26595744680851063,-0.015316628632208085,0.13020104107403685,0.1636596426966828,-0.05009618544309211,0.040268456375838924,0.0,0.06040268456375839,0.6336190332374723
8,6,0.25,0.5,trial_signal,percentile,0,4,298,0.9899328859060402,0.970824791888958,0.9965704795918217,0.134738851526218,0.021729389012374138,0.10142941955974086,0.1378641991838168,-0.014617535595709918,0.010067114093959731,0.0,0.05704697986577181,0.5425305049196577
