seed,participant_dose,stimulus_dose,predictor,macro_ccc,macro_mae,dataset_id,representation
11,2,1,combined_population,0.3028389351261253,0.2493382968384898,ds002721,labram_pretrained
11,2,1,combined_personalized,0.1348314053540496,0.3434912978385913,ds002721,labram_pretrained
11,2,1,prior,0.3048143520369955,0.2434210526315789,ds002721,labram_random
11,2,1,eeg_population,0.0294898108433005,0.2721820387575075,ds002721,labram_random
11,2,1,eeg_personalized,-0.2043174562491274,0.295044852012564,ds002721,labram_random
11,2,1,combined_population,0.3158683090296461,0.2490283523740709,ds002721,labram_random
11,2,1,combined_personalized,0.1045096673605357,0.3478379814688653,ds002721,labram_random
11,2,2,prior,0.3097812643019378,0.2269736842105263,ds002721,bandpower
11,2,2,eeg_population,0.0140920220471505,0.2679992695301862,ds002721,bandpower
11,2,2,eeg_personalized,-0.1983056498702128,0.2936608231701703,ds002721,bandpower
11,2,2,combined_population,0.3122104916854342,0.2216693425988925,ds002721,bandpower
11,2,2,combined_personalized,0.1291412517734628,0.311380488807564,ds002721,bandpower
11,2,2,prior,0.3097812643019378,0.2269736842105263,ds002721,labram_pretrained
11,2,2,eeg_population,-0.0053696922153852,0.2688124793030498,ds002721,labram_pretrained
11,2,2,eeg_personalized,-0.1779415440973537,0.2919198825252759,ds002721,labram_pretrained
11,2,2,combined_population,0.3201619856142036,0.2164893655583836,ds002721,labram_pretrained
11,2,2,combined_personalized,0.1416248346802575,0.3138281664869978,ds002721,labram_pretrained
11,2,2,prior,0.3097812643019378,0.2269736842105263,ds002721,labram_random
11,2,2,eeg_population,0.0413493009162055,0.2699832884578075,ds002721,labram_random
11,2,2,eeg_personalized,-0.1839544570580729,0.291634427170963,ds002721,labram_random
11,2,2,combined_population,0.3131672464407974,0.2249300109443147,ds002721,labram_random
11,2,2,combined_personalized,0.1152314031086261,0.3170864364161824,ds002721,labram_random
11,2,4,prior,0.3676811717055452,0.2179276315789473,ds002721,bandpower
11,2,4,eeg_population,-0.0032803901065191,0.269572048139615,ds002721,bandpower
11,2,4,eeg_personalized,-0.2012121027149774,0.2940031679546312,ds002721,bandpower
11,2,4,combined_population,0.3628317694932708,0.2138867110851471,ds002721,bandpower
11,2,4,combined_personalized,0.2218306463041028,0.2558714649633273,ds002721,bandpower
11,2,4,prior,0.3676811717055452,0.2179276315789473,ds002721,labram_pretrained
11,2,4,eeg_population,-0.0104558171305279,0.2665259582756456,ds002721,labram_pretrained
11,2,4,eeg_personalized,-0.1811132760433852,0.2917136744828036,ds002721,labram_pretrained
11,2,4,combined_population,0.3795876871264834,0.205512942797514,ds002721,labram_pretrained
11,2,4,combined_personalized,0.2478593422396774,0.2579016070972954,ds002721,labram_pretrained
11,2,4,prior,0.3676811717055452,0.2179276315789473,ds002721,labram_random
11,2,4,eeg_population,0.0288246010140459,0.2719260426981706,ds002721,labram_random
11,2,4,eeg_personalized,-0.2095102406771131,0.2945857151243144,ds002721,labram_random
11,2,4,combined_population,0.3718925978652551,0.2154163832239733,ds002721,labram_random
11,2,4,combined_personalized,0.1982420081298193,0.2635997383942333,ds002721,labram_random
11,4,0,prior,0.1002609599227078,0.2928618421052632,ds002721,bandpower
11,4,0,eeg_population,0.0081698540811683,0.2694059624829732,ds002721,bandpower
11,4,0,eeg_personalized,-0.0585245626141815,0.2699663772104573,ds002721,bandpower
11,4,0,combined_population,0.110776971226672,0.2847387295870695,ds002721,bandpower
11,4,0,combined_personalized,0.14405234847622,0.2743794270936512,ds002721,bandpower
11,4,0,prior,0.1002609599227078,0.2928618421052632,ds002721,labram_pretrained
11,4,0,eeg_population,0.0030490899692261,0.2695713347806628,ds002721,labram_pretrained
11,4,0,eeg_personalized,-0.0458842317357152,0.2687521462726591,ds002721,labram_pretrained
11,4,0,combined_population,0.1291387663141738,0.2845047388314188,ds002721,labram_pretrained
11,4,0,combined_personalized,0.1766249796053332,0.271914475561071,ds002721,labram_pretrained
11,4,0,prior,0.1002609599227078,0.2928618421052632,ds002721,labram_random
11,4,0,eeg_population,0.0395617238130325,0.2698580903577199,ds002721,labram_random
11,4,0,eeg_personalized,-0.0446552617896013,0.2699833530231539,ds002721,labram_random
11,4,0,combined_population,0.1372142356105311,0.2914346569553762,ds002721,labram_random
11,4,0,combined_personalized,0.1606710125514052,0.2810434277156304,ds002721,labram_random
11,4,1,prior,0.3048143520369955,0.2434210526315789,ds002721,bandpower
11,4,1,eeg_population,0.0133651807255272,0.2680215107771675,ds002721,bandpower
11,4,1,eeg_personalized,-0.058092249852248,0.2697911359080128,ds002721,bandpower
11,4,1,combined_population,0.2924646616366813,0.25281751262547,ds002721,bandpower
11,4,1,combined_personalized,0.2615899090165315,0.2973193581882869,ds002721,bandpower
11,4,1,prior,0.3048143520369955,0.2434210526315789,ds002721,labram_pretrained
11,4,1,eeg_population,-0.0034120349220035,0.2692136068545737,ds002721,labram_pretrained
11,4,1,eeg_personalized,-0.0513092084458355,0.2696033233235574,ds002721,labram_pretrained
11,4,1,combined_population,0.3028389351261253,0.2493382968384898,ds002721,labram_pretrained
11,4,1,combined_personalized,0.2767252097454728,0.297602516978032,ds002721,labram_pretrained
11,4,1,prior,0.3048143520369955,0.2434210526315789,ds002721,labram_random
11,4,1,eeg_population,0.0294898108433005,0.2721820387575075,ds002721,labram_random
11,4,1,eeg_personalized,-0.0557412767580182,0.2716607381981641,ds002721,labram_random
11,4,1,combined_population,0.3158683090296461,0.2490283523740709,ds002721,labram_random
11,4,1,combined_personalized,0.2804566369982517,0.2838825393739478,ds002721,labram_random
11,4,2,prior,0.3097812643019378,0.2269736842105263,ds002721,bandpower
11,4,2,eeg_population,0.0140920220471505,0.2679992695301862,ds002721,bandpower
11,4,2,eeg_personalized,-0.0601960729513368,0.270346336395284,ds002721,bandpower
11,4,2,combined_population,0.3122104916854342,0.2216693425988925,ds002721,bandpower
11,4,2,combined_personalized,0.3023523131780219,0.246509734863785,ds002721,bandpower
11,4,2,prior,0.3097812643019378,0.2269736842105263,ds002721,labram_pretrained
11,4,2,eeg_population,-0.0053696922153852,0.2688124793030498,ds002721,labram_pretrained
11,4,2,eeg_personalized,-0.0518239980950324,0.2702239327080826,ds002721,labram_pretrained
11,4,2,combined_population,0.3201619856142036,0.2164893655583836,ds002721,labram_pretrained
11,4,2,combined_personalized,0.3141083211117059,0.2498320078201888,ds002721,labram_pretrained
11,4,2,prior,0.3097812643019378,0.2269736842105263,ds002721,labram_random
11,4,2,eeg_population,0.0413493009162055,0.2699832884578075,ds002721,labram_random
11,4,2,eeg_personalized,-0.0377850105873955,0.2693793876294378,ds002721,labram_random
11,4,2,combined_population,0.3131672464407974,0.2249300109443147,ds002721,labram_random
11,4,2,combined_personalized,0.3069820113710464,0.2467869546079261,ds002721,labram_random
11,4,4,prior,0.3676811717055452,0.2179276315789473,ds002721,bandpower
11,4,4,eeg_population,-0.0032803901065191,0.269572048139615,ds002721,bandpower
11,4,4,eeg_personalized,-0.0646920761105452,0.2710919285400766,ds002721,bandpower
11,4,4,combined_population,0.3628317694932708,0.2138867110851471,ds002721,bandpower
11,4,4,combined_personalized,0.4051342003871904,0.2063289259128375,ds002721,bandpower
11,4,4,prior,0.3676811717055452,0.2179276315789473,ds002721,labram_pretrained
11,4,4,eeg_population,-0.0104558171305279,0.2665259582756456,ds002721,labram_pretrained
11,4,4,eeg_personalized,-0.054818723486686,0.2704346350645535,ds002721,labram_pretrained
11,4,4,combined_population,0.3795876871264834,0.205512942797514,ds002721,labram_pretrained
11,4,4,combined_personalized,0.4221551639454124,0.207462397382055,ds002721,labram_pretrained
11,4,4,prior,0.3676811717055452,0.2179276315789473,ds002721,labram_random
11,4,4,eeg_population,0.0288246010140459,0.2719260426981706,ds002721,labram_random
11,4,4,eeg_personalized,-0.0616791302369208,0.2706799630936544,ds002721,labram_random
11,4,4,combined_population,0.3718925978652551,0.2154163832239733,ds002721,labram_random
11,4,4,combined_personalized,0.4071387036231465,0.2060608888123421,ds002721,labram_random
11,8,0,prior,0.1002609599227078,0.2928618421052632,ds002721,bandpower
11,8,0,eeg_population,0.0081698540811683,0.2694059624829732,ds002721,bandpower
11,8,0,eeg_personalized,0.0307986177580696,0.2568552899874828,ds002721,bandpower
11,8,0,combined_population,0.110776971226672,0.2847387295870695,ds002721,bandpower
11,8,0,combined_personalized,0.192968152083869,0.2967342525025697,ds002721,bandpower
11,8,0,prior,0.1002609599227078,0.2928618421052632,ds002721,labram_pretrained
11,8,0,eeg_population,0.0030490899692261,0.2695713347806628,ds002721,labram_pretrained
11,8,0,eeg_personalized,0.040349898720377,0.2542738112712505,ds002721,labram_pretrained
11,8,0,combined_population,0.1291387663141738,0.2845047388314188,ds002721,labram_pretrained
11,8,0,combined_personalized,0.2136023883382943,0.2992320529796026,ds002721,labram_pretrained
11,8,0,prior,0.1002609599227078,0.2928618421052632,ds002721,labram_random
11,8,0,eeg_population,0.0395617238130325,0.2698580903577199,ds002721,labram_random
11,8,0,eeg_personalized,0.0138286861852692,0.2638571781089984,ds002721,labram_random
11,8,0,combined_population,0.1372142356105311,0.2914346569553762,ds002721,labram_random
11,8,0,combined_personalized,0.1878703912574018,0.3126946262797815,ds002721,labram_random
11,8,1,prior,0.3048143520369955,0.2434210526315789,ds002721,bandpower
11,8,1,eeg_population,0.0133651807255272,0.2680215107771675,ds002721,bandpower
11,8,1,eeg_personalized,0.0317067279278879,0.2564901964363226,ds002721,bandpower
11,8,1,combined_population,0.2924646616366813,0.25281751262547,ds002721,bandpower
11,8,1,combined_personalized,0.3286986602773762,0.2706566307778246,ds002721,bandpower
11,8,1,prior,0.3048143520369955,0.2434210526315789,ds002721,labram_pretrained
11,8,1,eeg_population,-0.0034120349220035,0.2692136068545737,ds002721,labram_pretrained
11,8,1,eeg_personalized,0.0347693673381726,0.253080615841837,ds002721,labram_pretrained
11,8,1,combined_population,0.3028389351261253,0.2493382968384898,ds002721,labram_pretrained
11,8,1,combined_personalized,0.3375258969955864,0.2756400961003356,ds002721,labram_pretrained
11,8,1,prior,0.3048143520369955,0.2434210526315789,ds002721,labram_random
11,8,1,eeg_population,0.0294898108433005,0.2721820387575075,ds002721,labram_random
11,8,1,eeg_personalized,0.0015915077632039,0.2651637995684632,ds002721,labram_random
11,8,1,combined_population,0.3158683090296461,0.2490283523740709,ds002721,labram_random
11,8,1,combined_personalized,0.329935246579076,0.2682640398344872,ds002721,labram_random
11,8,2,prior,0.3097812643019378,0.2269736842105263,ds002721,bandpower
11,8,2,eeg_population,0.0140920220471505,0.2679992695301862,ds002721,bandpower
11,8,2,eeg_personalized,0.0298838044533039,0.2569131404477783,ds002721,bandpower
11,8,2,combined_population,0.3122104916854342,0.2216693425988925,ds002721,bandpower
11,8,2,combined_personalized,0.3436622652295147,0.2417039595114491,ds002721,bandpower
11,8,2,prior,0.3097812643019378,0.2269736842105263,ds002721,labram_pretrained
11,8,2,eeg_population,-0.0053696922153852,0.2688124793030498,ds002721,labram_pretrained
11,8,2,eeg_personalized,0.0344621925814163,0.2535393037708661,ds002721,labram_pretrained
11,8,2,combined_population,0.3201619856142036,0.2164893655583836,ds002721,labram_pretrained
11,8,2,combined_personalized,0.3471210749284104,0.2429396253161472,ds002721,labram_pretrained
11,8,2,prior,0.3097812643019378,0.2269736842105263,ds002721,labram_random
11,8,2,eeg_population,0.0413493009162055,0.2699832884578075,ds002721,labram_random
11,8,2,eeg_personalized,0.0179689345323522,0.2637093977878495,ds002721,labram_random
11,8,2,combined_population,0.3131672464407974,0.2249300109443147,ds002721,labram_random
11,8,2,combined_personalized,0.3308289114339204,0.2476382281712857,ds002721,labram_random
11,8,4,prior,0.3676811717055452,0.2179276315789473,ds002721,bandpower
11,8,4,eeg_population,-0.0032803901065191,0.269572048139615,ds002721,bandpower
11,8,4,eeg_personalized,0.0264449720833142,0.2574761188281474,ds002721,bandpower
11,8,4,combined_population,0.3628317694932708,0.2138867110851471,ds002721,bandpower
11,8,4,combined_personalized,0.4312433102565753,0.2128806951438924,ds002721,bandpower
11,8,4,prior,0.3676811717055452,0.2179276315789473,ds002721,labram_pretrained
11,8,4,eeg_population,-0.0104558171305279,0.2665259582756456,ds002721,labram_pretrained
11,8,4,eeg_personalized,0.0351621310428581,0.2522718802543136,ds002721,labram_pretrained
11,8,4,combined_population,0.3795876871264834,0.205512942797514,ds002721,labram_pretrained
11,8,4,combined_personalized,0.4361471214500535,0.2165917865765381,ds002721,labram_pretrained
11,8,4,prior,0.3676811717055452,0.2179276315789473,ds002721,labram_random
11,8,4,eeg_population,0.0288246010140459,0.2719260426981706,ds002721,labram_random
11,8,4,eeg_personalized,-0.0026281836987574,0.264588882341595,ds002721,labram_random
11,8,4,combined_population,0.3718925978652551,0.2154163832239733,ds002721,labram_random
11,8,4,combined_personalized,0.4071706618292114,0.2227541326659612,ds002721,labram_random
23,0,0,prior,0.1116890350810767,0.273625,ds002721,bandpower
23,0,0,eeg_population,-0.0375635668078309,0.2819482439705291,ds002721,bandpower
23,0,0,eeg_personalized,-0.0375635668078309,0.2819482439705291,ds002721,bandpower
23,0,0,combined_population,0.1089792305099003,0.2740764355958265,ds002721,bandpower
23,0,0,combined_personalized,0.1089792305099003,0.2740764355958265,ds002721,bandpower
23,0,0,prior,0.1116890350810767,0.273625,ds002721,labram_pretrained
23,0,0,eeg_population,0.0267745817603193,0.2782443042290596,ds002721,labram_pretrained
