case,origin,source,checker,expected_observable_status,observed_status,runtime_ms,blocked_checks
eegain_selection_test_not_declared_as_validation_fold2,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,block,allow,1.3920830097049475,
eegain_selection_test_not_declared_as_validation_fold2,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,block,block,2.164422068744898,model_selection_test_exclusion;subject_preprocessing_selection_holdout
libeer_no_validation_fold3,observed_pinned_source_control_flow,LibEER,elementary_split,block,block,1.37657904997468,validation_test_trial_isolation;subject_holdout
libeer_no_validation_fold3,observed_pinned_source_control_flow,LibEER,resource_contract,block,block,1.6681479755789042,validation_test_trial_isolation;subject_holdout;model_selection_test_exclusion;subject_preprocessing_selection_holdout
libeer_explicit_validation_fold3,observed_pinned_source_split,LibEER,elementary_split,allow,allow,1.3885770458728075,
libeer_explicit_validation_fold3,observed_pinned_source_split,LibEER,resource_contract,allow,allow,1.7550709890201688,
eegain_window_validation_fold3,native_function_on_three_marker_windows_per_real_trial,EEGain,elementary_split,block,block,1.403711037710309,training_validation_trial_isolation
eegain_window_validation_fold3,native_function_on_three_marker_windows_per_real_trial,EEGain,resource_contract,block,block,2.0387679105624557,training_validation_trial_isolation
eegain_subject_test_fold3,same_native_trace_without_unclaimed_validation_trial_holdout,EEGain,elementary_split,allow,allow,1.374215935356915,
eegain_subject_test_fold3,same_native_trace_without_unclaimed_validation_trial_holdout,EEGain,resource_contract,allow,allow,2.0149420015513897,
libeer_matched_fold3,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,allow,allow,1.392032951116562,
libeer_matched_fold3,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,allow,allow,2.1664450177922845,
libeer_unequal_calibration_fold3,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.3458720641210675,
libeer_unequal_calibration_fold3,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.2079499904066324,matched_calibration_trial_uids
libeer_unequal_population_labels_fold3,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.358661917038262,
libeer_unequal_population_labels_fold3,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.086743013933301,matched_population_label_trial_uids
libeer_different_evaluation_support_fold3,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.3883579522371292,
libeer_different_evaluation_support_fold3,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.2357420530170202,matched_evaluation_trial_uids
libeer_missing_provenance_fold3,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,unverifiable,allow,1.3455519219860435,
libeer_missing_provenance_fold3,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,unverifiable,unverifiable,1.402658992446959,
libeer_compound_fit_and_support_fold3,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.349927973933518,
libeer_compound_fit_and_support_fold3,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.175929956138134,preprocessing_test_exclusion;subject_preprocessing_selection_holdout;fixed_evaluation_support
libeer_selection_test_not_declared_as_validation_fold3,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.3596229255199432,
libeer_selection_test_not_declared_as_validation_fold3,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.1558189764618874,model_selection_test_exclusion;subject_preprocessing_selection_holdout
eegain_matched_fold3,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,allow,allow,1.4311530394479632,
eegain_matched_fold3,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,allow,allow,2.244034898467362,
eegain_unequal_calibration_fold3,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,block,allow,1.3845119392499328,
eegain_unequal_calibration_fold3,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,block,block,2.1878479747101665,matched_calibration_trial_uids
eegain_unequal_population_labels_fold3,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,block,allow,1.3740949798375368,
eegain_unequal_population_labels_fold3,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,block,block,2.0724209025502205,matched_population_label_trial_uids
eegain_different_evaluation_support_fold3,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,block,allow,1.3639300595968962,
eegain_different_evaluation_support_fold3,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,block,block,2.1939980797469616,matched_evaluation_trial_uids
eegain_missing_provenance_fold3,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,unverifiable,allow,1.3908310793340206,
eegain_missing_provenance_fold3,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,unverifiable,unverifiable,1.3622569385915995,
eegain_compound_fit_and_support_fold3,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,block,allow,1.3640099205076694,
eegain_compound_fit_and_support_fold3,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,block,block,2.175839967094362,preprocessing_test_exclusion;subject_preprocessing_selection_holdout;fixed_evaluation_support
eegain_selection_test_not_declared_as_validation_fold3,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,block,allow,1.7184460302814841,
eegain_selection_test_not_declared_as_validation_fold3,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,block,block,2.2167329443618655,model_selection_test_exclusion;subject_preprocessing_selection_holdout
libeer_no_validation_fold4,observed_pinned_source_control_flow,LibEER,elementary_split,block,block,1.3583810068666935,validation_test_trial_isolation;subject_holdout
libeer_no_validation_fold4,observed_pinned_source_control_flow,LibEER,resource_contract,block,block,1.60382897593081,validation_test_trial_isolation;subject_holdout;model_selection_test_exclusion;subject_preprocessing_selection_holdout
libeer_explicit_validation_fold4,observed_pinned_source_split,LibEER,elementary_split,allow,allow,1.4055329374969006,
libeer_explicit_validation_fold4,observed_pinned_source_split,LibEER,resource_contract,allow,allow,1.8319899681955576,
eegain_window_validation_fold4,native_function_on_three_marker_windows_per_real_trial,EEGain,elementary_split,block,block,1.4323849463835359,training_validation_trial_isolation
eegain_window_validation_fold4,native_function_on_three_marker_windows_per_real_trial,EEGain,resource_contract,block,block,2.030596020631492,training_validation_trial_isolation
eegain_subject_test_fold4,same_native_trace_without_unclaimed_validation_trial_holdout,EEGain,elementary_split,allow,allow,1.400295994244516,
eegain_subject_test_fold4,same_native_trace_without_unclaimed_validation_trial_holdout,EEGain,resource_contract,allow,allow,1.9968639826402068,
libeer_matched_fold4,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,allow,allow,1.398963970132172,
libeer_matched_fold4,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,allow,allow,2.162219025194645,
libeer_unequal_calibration_fold4,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.3517109910026193,
libeer_unequal_calibration_fold4,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.1661350037902594,matched_calibration_trial_uids
libeer_unequal_population_labels_fold4,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.3328719651326537,
libeer_unequal_population_labels_fold4,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.041202038526535,matched_population_label_trial_uids
libeer_different_evaluation_support_fold4,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.3533029705286026,
libeer_different_evaluation_support_fold4,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.1697100019082427,matched_evaluation_trial_uids
libeer_missing_provenance_fold4,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,unverifiable,allow,1.3640500837936997,
libeer_missing_provenance_fold4,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,unverifiable,unverifiable,1.3628280721604824,
libeer_compound_fit_and_support_fold4,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.3264119625091553,
libeer_compound_fit_and_support_fold4,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.196921966969967,preprocessing_test_exclusion;subject_preprocessing_selection_holdout;fixed_evaluation_support
libeer_selection_test_not_declared_as_validation_fold4,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.3628480955958366,
libeer_selection_test_not_declared_as_validation_fold4,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.468409948050976,model_selection_test_exclusion;subject_preprocessing_selection_holdout
eegain_matched_fold4,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,allow,allow,1.4488400192931294,
