dataset_id,scenario,method,estimand,replicates,coverage,coverage_mc_low,coverage_mc_high,bias,positive_rate,mean_width
ds006850,labels_only,basic,p2_s0,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,basic,p2_s1,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,basic,p2_s2,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,basic,p2_s4,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,basic,p2_s8,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,basic,p4_s0,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,basic,p4_s1,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,basic,p4_s2,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,basic,p4_s4,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,basic,p4_s8,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,basic,p8_s0,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,basic,p8_s1,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,basic,p8_s2,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,basic,p8_s4,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,basic,p8_s8,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,basic,uniform_grid_mean,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,normal_t,p0_s0,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,normal_t,p0_s1,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,normal_t,p0_s2,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,normal_t,p0_s4,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,normal_t,p0_s8,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
